HOT PICKS,Code Number,Hardcover/Paperback,Name of book,Author,Genre,Goodreads Link,Publisher,Year
,B261MY,Paperback,Miss Marple Omnibus Volume I,Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/131366.Miss_Marple_Omnibus_Vol_1,,
,T195MY,Paperback,A Pocket Full of Rye (Miss Marple #7),Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/365296.A_Pocket_Full_of_Rye,,
,T377MY,Paperback,The Murder of Roger Ackroyd (Hercule Poirot #4),Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/9618464-the-murder-of-roger-ackroyd,,
,T196MY,Paperback,The ABC Murders (Hercule Poirot #13),Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/826674.The_ABC_Murders,,
,T057MY,Paperback,Case Histories,Kate Atkinson,Mystery/Crime Fiction,https://www.goodreads.com/book/show/11370120-case-histories,,
,T052MY,Paperback,Rebecca,Daphne Du Maurier,Mystery/Crime Fiction,https://www.goodreads.com/book/show/12873.Rebecca,,
,Z127MY,Paperback,The Complete Adventures of Feluda I,Satyajit Ray,Mystery ,https://www.goodreads.com/book/show/244524.The_Complete_Adventures_of_Feluda_Vol_1?ac=1&from_search=true,,
,B117MY,Paperback,Looking Down,Frances Fyfield,Mystery,https://www.goodreads.com/book/show/942793.Looking_Down?from_search=true,,
,B120MY,Paperback,Undercurrents,Frances Fyfield,Mystery,https://www.goodreads.com/book/show/440152.Undercurrents?ac=1&from_search=true,,
,B137MY,Paperback,Elizabeth is Missing,Emma Healey,Mystery,https://www.goodreads.com/book/show/18635113-elizabeth-is-missing?ac=1&from_search=true,,
,B145MY,Paperback,Luckiest Girl Alive,Jessica Knoll,Mystery,https://www.goodreads.com/book/show/22609317-luckiest-girl-alive?ac=1&from_search=true,,
,B153MY,Paperback,The Wrong Mother,Sophie Hannah,Mystery,https://www.goodreads.com/book/show/6562491-the-wrong-mother?ac=1&from_search=true,,
,Z328MY,Hardcover,Celine,Peter Heller,Mystery,https://www.goodreads.com/book/show/30687236-celine?ac=1&from_search=true,,
,T213MY,Paperback,Exposure,Evelyn Anthony,Mystery,https://www.goodreads.com/book/show/2786695-exposure,,
,T146MY,Paperback,Murder on the Orient Express (Poirot #10),Agatha Christie,Mystery/Crime Fiction,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,,
,Z480C1,Hardcover,Little Red Hen,,Children's (3-5 yrs),,,
,Z314MY,Paperback,Magpie Murders,Anthony Horowitz,Mystery/Crime Fiction,https://www.goodreads.com/book/show/32075854-magpie-murders?ac=1&from_search=true,,
,Z026MY,Paperback,The Cuckoo's Calling,Robert Galbraith,Mystery/Crime Fiction,https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling?ac=1&from_search=true,,
,Z308MY,Hardcover,The Lying Game,Ruth Ware,Mystery/Crime Fiction,https://www.goodreads.com/book/show/32054076-the-lying-game,,
,Z082MY,Paperback,The Silkworm,Robert Galbraith,Mystery/Crime Fiction,https://www.goodreads.com/book/show/18214414-the-silkworm,,
,Z026MY,Paperback,The Cuckoo's Calling,Robert Galbraith,Mystery/Crime Fiction,https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling?ac=1&from_search=true,,
,Z088MY,Paperback,Still Life (Inspector Gamache Series Book 1),Louise Penny,Mystery/Crime Fiction,https://www.goodreads.com/book/show/338691.Still_Life?ac=1&from_search=true,,
,NB538AB,Hardcover,"Requiem: Diana, Princess of Wales",Brian MacArthur,Biography,https://www.goodreads.com/book/show/178029.Requiem?ac=1&from_search=true,,
,NB540AB,Hardcover,Diana: Her True Story,Andrew Morton,Biography,https://www.goodreads.com/book/show/908053.Diana?ac=1&from_search=true,,
,NB192AB,Paperback,Daughters Of Arabia,Jean Sasson,Biography,https://www.goodreads.com/book/show/17429198-daughters-of-arabia?ac=1&from_search=true,,
,NB052CL,Hardcover,Little Men,Louisa May Alcott,Classics,https://www.goodreads.com/book/show/78950.Little_Men?ac=1&from_search=true,,
,T154C3,Hardcover,Little Women  (Abridged),Loiusa May Alcott,Children's (Classics),https://www.goodreads.com/book/show/35494810-little-women,,
,T149C3,Paperback,The Adventures of Tom Sawyer,Mark Twain,Children's (Classics),https://www.goodreads.com/book/show/2262837.The_Adventures_of_Tom_Sawyer,,
,T160C3,Hardcover,Three Men in a Boat (Abridged),Jerome K. Jerome,Children's (Classics),https://www.goodreads.com/book/show/33551151-three-men-in-a-boat,,
,T159C3,Hardcover,Heidi ( Abridged),Johanna Spyri,Children's (Classics),https://www.goodreads.com/book/show/26185839-heidi---om-illustrated-classics,,
,T155CL,Paperback,Jo's Boys,Louisa May Alcott,Classics,https://www.goodreads.com/book/show/1434997.Jo_s_Boys,,
,B803C3,Paperback,White Fang (Abridged),Jack London,Children's (Classics),https://www.goodreads.com/book/show/15991522-white-fang?ac=1&from_search=true,,
